Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	DVP	USG%	Final Proj	Final Value	PTS for 5x value
SF	Mikal Bridges	29.03	$5,500.00	PHO	LAC	26.50	4.82	24.9	4.53	1	14.3	25.7	4.67	27.50
C	Wendell Carter	26.15	$5,500.00	CHI	DAL	28.30	5.15	29.9	5.44	13	17.3	29.1	5.29	27.50
C	James Wiseman	23.82	$5,400.00	GS	POR	21.20	3.93	21.7	4.02	11	22.8	21.45	3.97	27.00
SF	Tim Hardaway	25.28	$5,300.00	DAL	CHI	24.60	4.64	27.1	5.11	4	22.5	25.85	4.88	26.50
PF	Robert Covington	21.68	$5,200.00	POR	GS	29.80	5.73	25.4	4.88	17	10.5	27.6	5.31	26.00
SG	Malik Beasley	25.08	$5,200.00	MIN	DEN	23.20	4.46	21.8	4.19	29	24.2	22.5	4.33	26.00
SF	Kelly Oubre	22.18	$5,200.00	GS	POR	26.10	5.02	26.3	5.06	25	23.7	26.2	5.04	26.00
C	Serge Ibaka	27.65	$5,100.00	LAC	PHO	29.20	5.73	29.1	5.71	20	22.8	29.15	5.72	25.50
SF	Rudy Gay	25.56	$5,100.00	SA	UTA	26.30	5.16	22.7	4.45	14	23.8	24.5	4.80	25.50
SF	Anthony Edwards	22.98	$5,100.00	MIN	DEN	24.70	4.84	23.3	4.57	12	25.9	24	4.71	25.50
SG	Jordan Clarkson	24.86	$5,000.00	UTA	SA	24.40	4.88	21.7	4.34	22	26.6	23.05	4.61	25.00
PF	Bojan Bogdanovic	18.20	$5,000.00	UTA	SA	28.70	5.74	26.6	5.32	18	19.3	27.65	5.53	25.00
SF	Rui Hachimura	23.15	$5,000.00	WAS	BKN	20.70	4.14	22.2	4.44	9	23	21.45	4.29	25.00
SF	Will Barton	22.20	$5,000.00	DEN	MIN	34.60	6.92	31.1	6.22	22	18.7	32.85	6.57	25.00
PG	Ricky Rubio	19.74	$4,900.00	MIN	DEN	26.80	5.47	28.2	5.76	10	14.6	27.5	5.61	24.50
SG	Lonnie Walker	21.78	$4,900.00	SA	UTA	26.00	5.31	18.7	3.82	5	18.5	22.35	4.56	24.50
PF	Naz Reid	23.34	$4,900.00	MIN	DEN	26.60	5.43	26	5.31	10	19.5	26.3	5.37	24.50
PF	Brandon Clarke	21.66	$4,800.00	MEM	LAL	22.40	4.67	26.7	5.56	2	19.6	24.55	5.11	24.00
SG	Josh Richardson	22.08	$4,800.00	DAL	CHI	27.70	5.77	22.5	4.69	16	18.6	25.1	5.23	24.00
PF	Paul Millsap	18.90	$4,700.00	DEN	MIN	24.90	5.30	20.3	4.32	20	17.4	22.6	4.81	23.50
PF	Nicolas Batum	22.05	$4,700.00	LAC	PHO	20.90	4.45	17.7	3.77	22	10.8	19.3	4.11	23.50
C	Enes Kanter	20.72	$4,700.00	POR	GS	23.90	5.09	22.8	4.85	23	17	23.35	4.97	23.50
SF	Justise Winslow	26.33	$4,700.00	MEM	LAL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	23.50
SF	Joe Ingles	20.50	$4,700.00	UTA	SA	23.70	5.04	19.9	4.23	5	14.2	21.8	4.64	23.50
PF	Davis Bertans	17.50	$4,600.00	WAS	BKN	20.60	4.48	22.3	4.85	26	19.1	21.45	4.66	23.00
C	DeAndre Jordan	20.08	$4,600.00	BKN	WAS	20.80	4.52	24.1	5.24	29	11	22.45	4.88	23.00
PF	Jae Crowder	22.45	$4,600.00	PHO	LAC	23.70	5.15	21.5	4.67	13	15.6	22.6	4.91	23.00
PG	Raul Neto	18.05	$4,500.00	WAS	BKN	12.60	2.80	14.3	3.18	14	18.4	13.45	2.99	22.50
SF	Carmelo Anthony	21.63	$4,500.00	POR	GS	26.80	5.96	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22.50
PG	Lou Williams	18.25	$4,500.00	LAC	PHO	19.70	4.38	18.2	4.04	20	21.6	18.95	4.21	22.50
SF	Joe Harris	23.32	$4,500.00	BKN	WAS	21.80	4.84	20.8	4.62	19	15.8	21.3	4.73	22.50
SF	Deni Avdija	21.87	$4,400.00	WAS	BKN	18.70	4.25	21.8	4.95	9	10.3	20.25	4.60	22.00
C	Ivica Zubac	19.53	$4,400.00	LAC	PHO	18.30	4.16	20.7	4.70	20	18	19.5	4.43	22.00
PG	DeAnthony Melton	12.90	$4,400.00	MEM	LAL	18.50	4.20	20.4	4.64	16	9.9	19.45	4.42	22.00
SF	Otto Porter	26.70	$4,400.00	CHI	DAL	25.10	5.70	26	5.91	18	21.5	25.55	5.81	22.00
PG	Monte Morris	21.74	$4,400.00	DEN	MIN	21.50	4.89	24.6	5.59	18	17	23.05	5.24	22.00
SF	Dorian Finney-Smith	19.48	$4,400.00	DAL	CHI	22.20	5.05	18.5	4.20	4	15	20.35	4.63	22.00
PF	Marquese Chriss	17.80	$4,300.00	GS	POR	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	21.50
SF	Cameron Johnson	21.78	$4,300.00	PHO	LAC	20.20	4.70	18.8	4.37	1	19.9	19.5	4.53	21.50
SF	Jarrett Culver	16.88	$4,300.00	MIN	DEN	16.30	3.79	15	3.49	12	17.3	15.65	3.64	21.50
C	Jakob Poeltl	17.96	$4,200.00	SA	UTA	20.70	4.93	17.4	4.14	5	0	19.05	4.54	21.00
PF	Thaddeus Young	23.40	$4,200.00	CHI	DAL	24.50	5.83	23.2	5.52	25	19.3	23.85	5.68	21.00
PF	Kyle Kuzma	20.67	$4,100.00	LAL	MEM	20.80	5.07	20.3	4.95	11	20.6	20.55	5.01	20.50
SG	Timothe Luwawu-Cabarrot	11.83	$4,100.00	BKN	WAS	23.20	5.66	12.8	3.12	6	19.7	18	4.39	20.50
SF	Josh Okogie	14.50	$4,100.00	MIN	DEN	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.50
SF	Jarred Vanderbilt	22.13	$4,100.00	MIN	DEN	0.00	0.00	11.6	2.83	12	17.2	5.8	1.41	20.50
PF	Eric Paschall	16.74	$4,100.00	GS	POR	15.40	3.76	18.9	4.61	29	18.6	17.15	4.18	20.50
SF	Patrick Williams	16.77	$4,100.00	CHI	DAL	19.10	4.66	22.2	5.41	1	18.4	20.65	5.04	20.50
C	Derrick Favors	20.68	$4,000.00	UTA	SA	17.00	4.25	20.2	5.05	19	20.8	18.6	4.65	20.00
PG	Patty Mills	21.24	$4,000.00	SA	UTA	#N/A	#N/A	15.7	3.93	0	16.7	#N/A	#N/A	20.00
PF	Maxi Kleber	17.52	$4,000.00	DAL	CHI	18.40	4.60	20.5	5.13	24	11.3	19.45	4.86	20.00
SG	Gary Trent	19.40	$4,000.00	POR	GS	16.40	4.10	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.00
C	Dwight Powell	16.34	$4,000.00	DAL	CHI	19.80	4.95	22	5.50	30	11.4	20.9	5.23	20.00
SF	Derrick Jones	20.02	$4,000.00	POR	GS	22.90	5.73	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.00
PG	Cameron Payne	19.45	$4,000.00	PHO	LAC	19.00	4.75	18.6	4.65	15	19.2	18.8	4.70	20.00
SG	Gary Harris	16.32	$4,000.00	DEN	MIN	21.70	5.43	23.7	5.93	28	14.2	22.7	5.68	20.00
PG	Tomas Satoransky	20.47	$3,900.00	CHI	DAL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.50
PF	Marcus Morris	26.92	$3,900.00	LAC	PHO	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.50
C	Kevon Looney	10.76	$3,900.00	GS	POR	9.80	2.51	11.3	2.90	11	10.6	10.55	2.71	19.50
PF	Royce ONeale	17.76	$3,900.00	UTA	SA	19.80	5.08	19.7	5.05	18	8.5	19.75	5.06	19.50
SG	Luke Kennard	13.50	$3,900.00	LAC	PHO	17.50	4.49	19.1	4.90	2	16.3	18.3	4.69	19.50
SF	Taurean Prince	12.22	$3,800.00	BKN	WAS	16.70	4.39	15.7	4.13	19	16.2	16.2	4.26	19.00
PG	Patrick Beverley	14.93	$3,800.00	LAC	PHO	20.50	5.39	14.7	3.87	20	14.2	17.6	4.63	19.00
SG	Reggie Jackson	12.33	$3,800.00	LAC	PHO	8.40	2.21	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.00
PG	Ish Smith	14.55	$3,800.00	WAS	BKN	12.20	3.21	17.2	4.53	14	16	14.7	3.87	19.00
SG	Landry Shamet	9.52	$3,800.00	BKN	WAS	13.60	3.58	10.2	2.68	6	14.9	11.9	3.13	19.00
SG	John Konchar	19.65	$3,800.00	MEM	LAL	6.60	1.74	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.00
PG	Brad Wanamaker	14.58	$3,800.00	GS	POR	15.80	4.16	11	2.89	6	15.4	13.4	3.53	19.00
SG	Damion Lee	15.24	$3,800.00	GS	POR	14.30	3.76	12.5	3.29	14	11.7	13.4	3.53	19.00
PF	JaMychal Green	15.80	$3,700.00	DEN	MIN	14.90	4.03	16.4	4.43	20	21.8	15.65	4.23	18.50
PG	Jalen Brunson	16.52	$3,700.00	DAL	CHI	11.30	3.05	11.4	3.08	24	28.2	11.35	3.07	18.50
SF	Chandler Hutchison	9.85	$3,700.00	CHI	DAL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.50
SF	Isaac Bonga	11.70	$3,700.00	WAS	BKN	0.60	0.16	3.2	0.86	9	9	1.9	0.51	18.50
PG	Jordan Poole	9.18	$3,700.00	GS	POR	0.60	0.16	9.7	2.62	6	19.8	5.15	1.39	18.50
C	Willie Cauley-Stein	9.54	$3,700.00	DAL	CHI	8.30	2.24	6.4	1.73	30	14.4	7.35	1.99	18.50
PF	Dario Saric	13.40	$3,700.00	PHO	LAC	13.10	3.54	14.1	3.81	13	24.9	13.6	3.68	18.50
PG	Shaquille Harrison	0.00	$3,700.00	UTA	SA	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.50
C	Marc Gasol	17.73	$3,700.00	LAL	MEM	18.70	5.05	18.1	4.89	4	8.7	18.4	4.97	18.50
C	Gorgui Dieng	20.38	$3,700.00	MEM	LAL	30.30	8.19	21.7	5.86	3	20.9	26	7.03	18.50
SG	Desmond Bane	13.96	$3,700.00	MEM	LAL	8.50	2.30	14.7	3.97	30	14.9	11.6	3.14	18.50
PG	Trey Burke	13.38	$3,700.00	DAL	CHI	20.60	5.57	15.5	4.19	24	18.2	18.05	4.88	18.50
SF	Troy Brown	8.78	$3,600.00	WAS	BKN	12.60	3.50	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
SG	Bruce Brown	2.37	$3,600.00	BKN	WAS	0.10	0.03	7.6	2.11	6	19.4	3.85	1.07	18.00
SG	Grayson Allen	12.55	$3,600.00	MEM	LAL	10.80	3.00	15.6	4.33	30	11.6	13.2	3.67	18.00
C	Bol Bol	1.40	$3,600.00	DEN	MIN	0.10	0.03	7.3	2.03	8	12.5	3.7	1.03	18.00
PG	Chris Chiozza	9.60	$3,600.00	BKN	WAS	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
SG	Kentavious Caldwell-Pope	16.97	$3,600.00	LAL	MEM	16.80	4.67	17.7	4.92	24	13.5	17.25	4.79	18.00
PG	Alex Caruso	9.17	$3,600.00	LAL	MEM	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
PF	Zach Collins	18.16	$3,600.00	POR	GS	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
PF	Isaiah Hartenstein	11.72	$3,600.00	DEN	MIN	4.10	1.14	7	1.94	20	29.8	5.55	1.54	18.00
SF	Denzel Valentine	18.50	$3,600.00	CHI	DAL	16.70	4.64	18.4	5.11	18	15.9	17.55	4.88	18.00
SF	Alfonzo McKinnie	4.53	$3,500.00	LAL	MEM	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Garrison Mathews	3.60	$3,500.00	WAS	BKN	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Juan Toscano-Anderson	13.42	$3,500.00	GS	POR	11.30	3.23	11.2	3.20	25	7.6	11.25	3.21	17.50
SF	Mychal Mulder	6.90	$3,500.00	GS	POR	9.20	2.63	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Rodney Hood	6.98	$3,500.00	POR	GS	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Vlatko Cancar	-1.00	$3,500.00	DEN	MIN	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Juwan Morgan	0.60	$3,500.00	UTA	SA	0.20	0.06	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Luka Samanic	0.00	$3,500.00	SA	UTA	0.30	0.09	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Patrick Patterson	7.38	$3,500.00	LAC	PHO	0.90	0.26	7.3	2.09	22	13.7	4.1	1.17	17.50
PF	Devontae Cacok	13.50	$3,500.00	LAL	MEM	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Keljin Blevins	2.17	$3,500.00	POR	GS	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Frank Kaminsky	7.16	$3,500.00	PHO	LAC	0.90	0.26	6.1	1.74	13	23.3	3.5	1.00	17.50
SF	Wesley Matthews	9.57	$3,500.00	LAL	MEM	8.10	2.31	7.9	2.26	11	8.3	8	2.29	17.50
C	Ed Davis	10.77	$3,500.00	MIN	DEN	10.10	2.89	12.2	3.49	1	11.7	11.15	3.19	17.50
PG	Jordan McLaughlin	13.47	$3,500.00	MIN	DEN	11.80	3.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Trey Lyles	4.05	$3,500.00	SA	UTA	11.20	3.20	10	2.86	19	8.5	10.6	3.03	17.50
PF	Georges Niang	1.02	$3,500.00	UTA	SA	3.00	0.86	7.5	2.14	18	8.8	5.25	1.50	17.50
C	Damian Jones	4.05	$3,500.00	PHO	LAC	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Luke Kornet	5.20	$3,500.00	CHI	DAL	0.20	0.06	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Jay Scrubb	0.00	$3,500.00	LAC	PHO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	R.J. Hampton	1.07	$3,500.00	DEN	MIN	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Facundo Campazzo	4.26	$3,500.00	DEN	MIN	2.00	0.57	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Anthony Gill	3.00	$3,500.00	WAS	BKN	0.80	0.23	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
C	Robin Lopez	12.13	$3,500.00	WAS	BKN	14.00	4.00	12.8	3.66	18	14.9	13.4	3.83	17.50
SG	PJ Dozier	15.30	$3,500.00	DEN	MIN	16.60	4.74	17.9	5.11	28	14.9	17.25	4.93	17.50
C	Anzejs Pasecniks	-2.30	$3,500.00	WAS	BKN	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Juancho Hernangomez	7.84	$3,500.00	MIN	DEN	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Tyler Johnson	2.40	$3,500.00	BKN	WAS	0.30	0.09	2.8	0.80	29	7.6	1.55	0.44	17.50
SG	Klay Thompson	0.00	$3,500.00	GS	POR	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Markieff Morris	13.10	$3,500.00	LAL	MEM	14.90	4.26	15.9	4.54	11	12.4	15.4	4.40	17.50
SG	Spencer Dinwiddie	17.70	$3,500.00	BKN	WAS	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Ryan Arcidiacono	14.60	$3,500.00	CHI	DAL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Jerome Robinson	8.60	$3,500.00	WAS	BKN	0.30	0.09	5.2	1.49	14	13.7	2.75	0.79	17.50
PF	Jaren Jackson	29.98	$3,500.00	MEM	LAL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Keita Bates-Diop	0.00	$3,500.00	SA	UTA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Jevon Carter	6.75	$3,500.00	PHO	LAC	10.70	3.06	12.9	3.69	15	14.7	11.8	3.37	17.50
SF	ETwaun Moore	-2.00	$3,500.00	PHO	LAC	0.60	0.17	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Ty-Shon Alexander	1.35	$3,500.00	PHO	LAC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Rodions Kurucs	2.20	$3,500.00	BKN	WAS	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Greg Whittington	0.00	$3,500.00	DEN	MIN	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Quinn Cook	3.05	$3,500.00	LAL	MEM	0.20	0.06	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Killian Tillie	0.00	$3,500.00	MEM	LAL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Jake Layman	11.54	$3,500.00	MIN	DEN	10.20	2.91	15.6	4.46	12	15.1	12.9	3.69	17.50
SF	Jarrell Brantley	9.06	$3,500.00	UTA	SA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Terance Mann	6.05	$3,500.00	LAC	PHO	0.40	0.11	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
C	Moritz Wagner	7.65	$3,500.00	WAS	BKN	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Anfernee Simons	9.98	$3,500.00	POR	GS	5.90	1.69	10.8	3.09	27	21	8.35	2.39	17.50
PG	Jaylen Nowell	7.34	$3,500.00	MIN	DEN	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	James Johnson	18.54	$3,500.00	DAL	CHI	12.50	3.57	13.2	3.77	24	15.3	12.85	3.67	17.50
PF	Kostas Antetokounmpo	8.80	$3,500.00	LAL	MEM	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Daniel Gafford	15.66	$3,500.00	CHI	DAL	16.50	4.71	15.6	4.46	25	13.9	16.05	4.59	17.50
SG	Miye Oni	2.85	$3,500.00	UTA	SA	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Talen Horton-Tucker	14.98	$3,500.00	LAL	MEM	9.80	2.80	7.3	2.09	24	22.1	8.55	2.44	17.50
SF	Nassir Little	8.35	$3,500.00	POR	GS	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Quinndary Weatherspoon	3.99	$3,500.00	SA	UTA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Abdel Nader	11.05	$3,500.00	PHO	LAC	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Mfiondu Kabengele	3.96	$3,500.00	LAC	PHO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Nicolas Claxton	10.72	$3,500.00	BKN	WAS	0.30	0.09	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Alen Smailagic	8.64	$3,500.00	GS	POR	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Adam Mokoka	8.03	$3,500.00	CHI	DAL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Wes Iwundu	6.07	$3,500.00	DAL	CHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Jontay Porter	0.00	$3,500.00	MEM	LAL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Garrett Temple	13.72	$3,500.00	CHI	DAL	19.30	5.51	20.5	5.86	18	12.6	19.9	5.69	17.50
SF	Kent Bazemore	6.60	$3,500.00	GS	POR	0.10	0.03	8.7	2.49	25	14.6	4.4	1.26	17.50
SG	Nate Hinton	0.00	$3,500.00	DAL	CHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Langston Galloway	7.13	$3,500.00	PHO	LAC	7.00	2.00	9	2.57	20	17.9	8	2.29	17.50
C	Boban Marjanovic	6.47	$3,500.00	DAL	CHI	0.50	0.14	3.4	0.97	30	25.2	1.95	0.56	17.50
PF	Amir Coffey	3.15	$3,500.00	LAC	PHO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	CJ Elleby	3.13	$3,500.00	POR	GS	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Zeke Nnaji	0.00	$3,500.00	DEN	MIN	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
