Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	DVP	USG%	Final Proj	Final Value	PTS for 5x value
PG	Luka Doncic	43.32	$11,300.00	DAL	CHI	53.30	4.72	55.2	4.88	24	36.7	54.25	4.80	56.50
PG	Russell Westbrook	50.92	$11,000.00	WAS	BKN	50.50	4.59	50.9	4.63	14	29.2	50.7	4.61	55.00
C	Nikola Jokic	56.70	$10,600.00	DEN	MIN	49.60	4.68	52.3	4.93	8	25.5	50.95	4.81	53.00
SF	Kawhi Leonard	50.55	$10,500.00	LAC	PHO	50.40	4.80	48.6	4.63	8	29.8	49.5	4.71	52.50
SF	LeBron James	45.03	$10,400.00	LAL	MEM	56.50	5.43	39	3.75	11	29	47.75	4.59	52.00
C	Karl-Anthony Towns	49.30	$10,200.00	MIN	DEN	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	51.00
PF	Anthony Davis	41.16	$10,000.00	LAL	MEM	48.40	4.84	47.5	4.75	11	26.8	47.95	4.80	50.00
SG	Bradley Beal	46.17	$9,800.00	WAS	BKN	42.20	4.31	41.3	4.21	17	35.2	41.75	4.26	49.00
PG	Stephen Curry	43.62	$9,800.00	GS	POR	47.10	4.81	44.9	4.58	6	32.2	46	4.69	49.00
SF	Kevin Durant	46.44	$9,600.00	BKN	WAS	44.20	4.60	42.4	4.42	19	30.8	43.3	4.51	48.00
PG	Kyrie Irving	42.84	$9,500.00	BKN	WAS	42.80	4.51	44.2	4.65	29	30.1	43.5	4.58	47.50
PG	Damian Lillard	40.78	$9,300.00	POR	GS	43.60	4.69	43.4	4.67	27	29.9	43.5	4.68	46.50
SG	CJ McCollum	45.70	$8,800.00	POR	GS	37.00	4.20	37	4.20	27	29.1	37	4.20	44.00
PG	Ja Morant	40.30	$8,500.00	MEM	LAL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	42.50
SG	DeMar DeRozan	44.64	$8,500.00	SA	UTA	36.30	4.27	36.8	4.33	5	22.8	36.55	4.30	42.50
SG	Paul George	40.23	$8,000.00	LAC	PHO	43.00	5.38	37.3	4.66	2	30.4	40.15	5.02	40.00
SG	Donovan Mitchell	32.38	$8,000.00	UTA	SA	40.80	5.10	33.5	4.19	22	30.1	37.15	4.64	40.00
PF	Kristaps Porzingis	41.07	$8,000.00	DAL	CHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	40.00
C	Rudy Gobert	39.54	$7,800.00	UTA	SA	35.40	4.54	35.8	4.59	19	18.1	35.6	4.56	39.00
SG	Zach LaVine	34.98	$7,700.00	CHI	DAL	37.90	4.92	34.5	4.48	12	30.7	36.2	4.70	38.50
SG	Devin Booker	29.72	$7,500.00	PHO	LAC	37.50	5.00	37.8	5.04	20	31.5	37.65	5.02	37.50
PG	Dejounte Murray	35.52	$7,400.00	SA	UTA	35.80	4.84	31.8	4.30	22	25.1	33.8	4.57	37.00
PG	Jamal Murray	32.53	$7,300.00	DEN	MIN	38.20	5.23	34.4	4.71	18	25.4	36.3	4.97	36.50
C	Jonas Valanciunas	35.40	$7,200.00	MEM	LAL	31.80	4.42	35.5	4.93	3	20.5	33.65	4.67	36.00
PG	Chris Paul	31.97	$7,200.00	PHO	LAC	37.70	5.24	33.8	4.69	15	22.8	35.75	4.97	36.00
SG	DAngelo Russell	26.36	$7,200.00	MIN	DEN	35.00	4.86	30.9	4.29	29	28.9	32.95	4.58	36.00
C	Deandre Ayton	31.48	$7,100.00	PHO	LAC	34.40	4.85	34.8	4.90	14	18.6	34.6	4.87	35.50
SF	Michael Porter	37.22	$6,700.00	DEN	MIN	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	33.50
SG	Dillon Brooks	32.84	$6,600.00	MEM	LAL	28.40	4.30	29.5	4.47	30	29.4	28.95	4.39	33.00
PG	Mike Conley	36.64	$6,600.00	UTA	SA	30.90	4.68	28.9	4.38	13	24.9	29.9	4.53	33.00
SG	Caris LeVert	31.33	$6,500.00	BKN	WAS	28.20	4.34	27.2	4.18	6	28.5	27.7	4.26	32.50
SF	Kyle Anderson	34.24	$6,400.00	MEM	LAL	27.10	4.23	28.8	4.50	2	22.5	27.95	4.37	32.00
PF	Lauri Markkanen	28.48	$6,400.00	CHI	DAL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	32.00
SG	Andrew Wiggins	30.02	$6,300.00	GS	POR	31.20	4.95	29.8	4.73	14	24.5	30.5	4.84	31.50
PF	LaMarcus Aldridge	22.87	$6,200.00	SA	UTA	32.10	5.18	27.8	4.48	19	23.5	29.95	4.83	31.00
PG	Coby White	26.53	$6,100.00	CHI	DAL	27.50	4.51	26.7	4.38	1	22.4	27.1	4.44	30.50
PG	Derrick White	15.70	$6,000.00	SA	UTA	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	30.00
C	Jusuf Nurkic	24.62	$6,000.00	POR	GS	31.90	5.32	31.3	5.22	23	19.1	31.6	5.27	30.00
PF	Draymond Green	12.80	$6,000.00	GS	POR	21.70	3.62	29.9	4.98	29	8.9	25.8	4.30	30.00
SG	Dennis Schroder	29.92	$5,900.00	LAL	MEM	31.50	5.34	31	5.25	24	24.8	31.25	5.30	29.50
C	Thomas Bryant	29.27	$5,800.00	WAS	BKN	35.10	6.05	29.2	5.03	18	19.3	32.15	5.54	29.00
SF	Keldon Johnson	31.92	$5,800.00	SA	UTA	28.70	4.95	27.7	4.78	14	21.3	28.2	4.86	29.00
C	Montrezl Harrell	24.63	$5,700.00	LAL	MEM	27.80	4.88	25.6	4.49	4	17.8	26.7	4.68	28.50
PG	Tyus Jones	18.40	$5,700.00	MEM	LAL	22.00	3.86	23.4	4.11	16	14.6	22.7	3.98	28.50
C	Jarrett Allen	26.13	$5,600.00	BKN	WAS	28.30	5.05	26.8	4.79	29	14.1	27.55	4.92	28.00
