Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	Defense PPG to Pos	USG%	Final Proj	Final Value	PTS for 5x value	Minutes
SG	Svi Mykhailiuk	14.90	$3,600.00	DET	MIL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00	#N/A
PG	Dante Exum	12.32	$3,600.00	CLE	ORL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00	#N/A
SF	Maurice Harkless	1.42	$3,600.00	MIA	BOS	6.10	1.69	10.4	2.89	10	8	8.25	2.29	18.00	
SG	Torrey Craig	4.90	$3,600.00	MIL	DET	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00	#N/A
SG	Ben McLemore	15.82	$3,600.00	HOU	IND	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00	#N/A
PG	Frank Ntilikina	8.57	$3,600.00	NY	UTA	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00	#N/A
SF	Isaac Okoro	12.35	$3,600.00	CLE	ORL	11.90	3.31	15.3	4.25	20	8	13.6	3.78	18.00	
PG	Kendrick Nunn	10.30	$3,600.00	MIA	BOS	2.30	0.64	6.4	1.78	9	24.2	4.35	1.21	18.00	
PG	TJ McConnell	16.14	$3,600.00	IND	HOU	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00	#N/A
SF	Denzel Valentine	17.08	$3,600.00	CHI	SAC	19.70	5.47	14.5	4.03	24	13.2	17.1	4.75	18.00	
SG	Garrison Mathews	3.60	$3,500.00	WAS	PHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Gabe Vincent	12.40	$3,500.00	MIA	BOS	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Theo Pinson	0.30	$3,500.00	NY	UTA	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Paul Watson	2.70	$3,500.00	TOR	PHO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Juan Toscano-Anderson	12.08	$3,500.00	GS	LAC	1.70	0.49	6.7	1.91	1	7.3	4.2	1.20	17.50	
SF	Mychal Mulder	7.13	$3,500.00	GS	LAC	3.70	1.06	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Chris Silva	3.50	$3,500.00	MIA	BOS	0.90	0.26	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Moses Brown	8.50	$3,500.00	OKC	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Juwan Morgan	1.20	$3,500.00	UTA	NY	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Sekou Doumbouya	11.89	$3,500.00	DET	MIL	2.60	0.74	4.3	1.23	1	20	3.45	0.99	17.50	
SG	Deividas Sirvydis	0.00	$3,500.00	DET	MIL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Marques Bolden	2.60	$3,500.00	CLE	ORL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Patrick Patterson	6.90	$3,500.00	LAC	GS	2.60	0.74	3.7	1.06	17	14	3.15	0.90	17.50	
SG	Dakota Mathias	7.13	$3,500.00	PHI	WAS	7.80	2.23	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Al-Farouq Aminu	15.27	$3,500.00	ORL	CLE	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Solomon Hill	9.39	$3,500.00	ATL	CHA	14.60	4.17	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Jared Harper	0.00	$3,500.00	NY	UTA	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Frank Kaminsky	7.16	$3,500.00	PHO	TOR	0.50	0.14	8.2	2.34	8	23.4	4.35	1.24	17.50	
SG	Javonte Green	7.75	$3,500.00	BOS	MIA	1.00	0.29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Max Strus	8.50	$3,500.00	MIA	BOS	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Tacko Fall	9.20	$3,500.00	BOS	MIA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	TJ Warren	22.08	$3,500.00	IND	HOU	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Nathan Knight	6.07	$3,500.00	ATL	CHA	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Nicolo Melli	7.52	$3,500.00	NO	OKC	1.20	0.34	1.7	0.49	9	13.5	1.45	0.41	17.50	
PF	Georges Niang	2.07	$3,500.00	UTA	NY	4.60	1.31	3.4	0.97	21	8.4	4	1.14	17.50	
SG	Sindarius Thornwell	6.10	$3,500.00	NO	OKC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Terence Davis	9.60	$3,500.00	TOR	PHO	4.50	1.29	8.8	2.51	2	22.3	6.65	1.90	17.50	
C	Damian Jones	4.05	$3,500.00	PHO	TOR	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Luke Kornet	5.20	$3,500.00	CHI	SAC	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Damyean Dotson	9.57	$3,500.00	CLE	ORL	16.00	4.57	21.5	6.14	15	12.6	18.75	5.36	17.50	
SG	Jay Scrubb	0.00	$3,500.00	LAC	GS	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Kenyon Martin	0.00	$3,500.00	HOU	IND	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Aleksej Pokusevski	11.66	$3,500.00	OKC	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Anthony Gill	3.00	$3,500.00	WAS	PHI	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Robin Lopez	13.04	$3,500.00	WAS	PHI	10.80	3.09	13.8	3.94	2	14.5	12.3	3.51	17.50	
C	Anzejs Pasecniks	-2.30	$3,500.00	WAS	PHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Thon Maker	7.90	$3,500.00	CLE	ORL	11.40	3.26	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Furkan Korkmaz	11.90	$3,500.00	PHI	WAS	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Klay Thompson	0.00	$3,500.00	GS	LAC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	DeAndre Bembry	2.37	$3,500.00	TOR	PHO	0.90	0.26	1.8	0.51	2	15	1.35	0.39	17.50	
PG	Ryan Arcidiacono	14.60	$3,500.00	CHI	SAC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Mo Bamba	5.90	$3,500.00	ORL	CLE	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Kevin Knox	13.79	$3,500.00	NY	UTA	11.60	3.31	11	3.14	13	14.9	11.3	3.23	17.50	
PG	Jerome Robinson	8.55	$3,500.00	WAS	PHI	0.10	0.03	3.8	1.09	4	12.9	1.95	0.56	17.50	
PF	Mamadi Diakite	0.00	$3,500.00	MIL	DET	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Jevon Carter	5.79	$3,500.00	PHO	TOR	2.60	0.74	8.4	2.40	16	14.3	5.5	1.57	17.50	
SF	ETwaun Moore	-2.00	$3,500.00	PHO	TOR	5.30	1.51	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Ty-Shon Alexander	1.35	$3,500.00	PHO	TOR	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Chimezie Metu	7.00	$3,500.00	SAC	CHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Omari Spellman	16.74	$3,500.00	NY	UTA	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Jahlil Okafor	10.70	$3,500.00	DET	MIL	0.20	0.06	6.5	1.86	28	16.5	3.35	0.96	17.50	
SF	KZ Okpala	5.73	$3,500.00	MIA	BOS	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Jarrell Brantley	9.06	$3,500.00	UTA	NY	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Jordan Bone	4.55	$3,500.00	ORL	CLE	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Mason Jones	0.00	$3,500.00	HOU	IND	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Terance Mann	5.99	$3,500.00	LAC	GS	0.50	0.14	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Moritz Wagner	7.65	$3,500.00	WAS	PHI	0.20	0.06	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Bryn Forbes	9.87	$3,500.00	MIL	DET	15.10	4.31	14	4.00	13	19	14.55	4.16	17.50	
SG	Brian Bowen	2.73	$3,500.00	IND	HOU	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Aaron Holiday	13.09	$3,500.00	IND	HOU	18.90	5.40	16.7	4.77	8	15.3	17.8	5.09	17.50	
PG	Tremont Waters	7.47	$3,500.00	BOS	MIA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Grant Williams	12.87	$3,500.00	BOS	MIA	10.70	3.06	8.7	2.49	23	14	9.7	2.77	17.50	
SG	Romeo Langford	5.77	$3,500.00	BOS	MIA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Matisse Thybulle	7.87	$3,500.00	PHI	WAS	14.80	4.23	13.8	3.94	19	10.7	14.3	4.09	17.50	
PF	Daniel Gafford	14.54	$3,500.00	CHI	SAC	13.10	3.74	15.4	4.40	5	13.5	14.25	4.07	17.50	
SG	Miye Oni	3.50	$3,500.00	UTA	NY	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Yuta Watanabe	8.25	$3,500.00	TOR	PHO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Glenn Robinson	9.57	$3,500.00	SAC	CHI	10.70	3.06	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Bruno Fernando	9.20	$3,500.00	ATL	CHA	2.60	0.74	8.1	2.31	30	11.1	5.35	1.53	17.50	
SG	Ty Jerome	8.36	$3,500.00	OKC	NO	1.70	0.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Carsen Edwards	5.87	$3,500.00	BOS	MIA	1.90	0.54	4.5	1.29	12	26.8	3.2	0.91	17.50	
SF	Ignas Brazdeikis	2.20	$3,500.00	NY	UTA	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Justin James	2.75	$3,500.00	SAC	CHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Chuma Okeke	10.32	$3,500.00	ORL	CLE	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Dylan Windler	8.00	$3,500.00	CLE	ORL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Jaxson Hayes	11.14	$3,500.00	NO	OKC	16.50	4.71	15.2	4.34	17	12.2	15.85	4.53	17.50	
SF	Thanasis Antetokounmpo	6.42	$3,500.00	MIL	DET	#N/A	#N/A	6.6	1.89	27	12.4	#N/A	#N/A	17.50	
SF	Abdel Nader	11.05	$3,500.00	PHO	TOR	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Cody Martin	10.80	$3,500.00	CHA	ATL	12.50	3.57	11.3	3.23	25	9.5	11.9	3.40	17.50	
PF	Jalen McDaniels	9.04	$3,500.00	CHA	ATL	17.80	5.09	11.2	3.20	16	18.9	14.5	4.14	17.50	
PF	Nerlens Noel	14.50	$3,500.00	NY	UTA	15.50	4.43	18	5.14	19	13.9	16.75	4.79	17.50	
PF	Bruno Caboclo	4.47	$3,500.00	HOU	IND	0.70	0.20	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Mfiondu Kabengele	3.96	$3,500.00	LAC	GS	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Goga Bitadze	8.27	$3,500.00	IND	HOU	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Kyle Guy	9.00	$3,500.00	SAC	CHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Alen Smailagic	8.64	$3,500.00	GS	LAC	1.60	0.46	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Vincent Poirier	5.55	$3,500.00	PHI	WAS	0.40	0.11	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Patrick McCaw	13.29	$3,500.00	TOR	PHO	1.10	0.31	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Dean Wade	5.45	$3,500.00	CLE	ORL	5.80	1.66	4.2	1.20	13	12.3	5	1.43	17.50	
SG	Adam Mokoka	8.03	$3,500.00	CHI	SAC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Karim Mane	2.40	$3,500.00	ORL	CLE	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Meyers Leonard	6.55	$3,500.00	MIA	BOS	1.10	0.31	0.5	0.14	10	14.1	0.8	0.23	17.50	
PF	JaKarr Sampson	4.53	$3,500.00	IND	HOU	1.70	0.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Kenrich Williams	7.15	$3,500.00	OKC	NO	11.40	3.26	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Shaquille Harrison	4.57	$3,500.00	UTA	NY	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Chris Clemons	7.98	$3,500.00	HOU	IND	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Nate Darling	0.00	$3,500.00	CHA	ATL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Garrett Temple	14.54	$3,500.00	CHI	SAC	16.10	4.60	17.6	5.03	24	13.2	16.85	4.81	17.50	
SF	Kent Bazemore	10.66	$3,500.00	GS	LAC	12.20	3.49	9.4	2.69	1	12.3	10.8	3.09	17.50	
PG	Jaylen Adams	0.00	$3,500.00	MIL	DET	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Brodric Thomas	3.87	$3,500.00	HOU	IND	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Langston Galloway	5.97	$3,500.00	PHO	TOR	9.60	2.74	4.5	1.29	3	18.4	7.05	2.01	17.50	
C	Will Magnay	0.00	$3,500.00	NO	OKC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Udonis Haslem	7.93	$3,500.00	MIA	BOS	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Rodney McGruder	0.00	$3,500.00	DET	MIL	0.30	0.09	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PF	Amir Coffey	2.70	$3,500.00	LAC	GS	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Darius Miller	2.00	$3,500.00	OKC	NO	0.60	0.17	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Skylar Mays	0.00	$3,500.00	ATL	CHA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Brad Wanamaker	12.86	$3,500.00	GS	LAC	12.40	3.54	12.8	3.66	15	15.2	12.6	3.60	17.50	
SF	Naji Marshall	0.00	$3,500.00	NO	OKC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
C	Onyeka Okongwu	0.00	$3,500.00	ATL	CHA	0.10	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
PG	Saben Lee	0.00	$3,500.00	DET	MIL	0.80	0.23	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SF	Kelan Martin	3.20	$3,500.00	IND	HOU	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50	#N/A
SG	Grant Riller	0.00	$3,500.00	CHA	ATL			#N/A			#N/A	#N/A	0.00	17.50	#N/A
PG	Edmond Sumner	0.00	$3,500.00	IND	HOU			#N/A							
C	Udoka Azubuike	5.20	$3,500.00	UTA	NY										
SF	Josh Hall	3.27	$3,500.00	OKC	NO										
SF	Elijah Hughes	4.37	$3,500.00	UTA	NY										
PF	Vernon Carey	5.70	$3,500.00	CHA	ATL										
PF	Jordan Nwora	9.60	$3,500.00	MIL	DET										
C	Nick Richards	3.27	$3,500.00	CHA	ATL										
PG	Kira Lewis	4.25	$3,500.00	NO	OKC										
PG	Sam Merrill	6.66	$3,500.00	MIL	DET										
PF	Jalen Smith	6.75	$3,500.00	PHO	TOR										
SF	Jonathan Isaac	32.27	$3,500.00	ORL	CLE										
C	Daniel Oturu	6.60	$3,500.00	LAC	GS										
PG	Dennis Smith	11.40	$3,500.00	NY	UTA										
PG	Isaiah Joe	5.33	$3,500.00	PHI	WAS										
SG	Tyrese Maxey	11.36	$3,500.00	PHI	WAS										
SF	Paul Reed	2.00	$3,500.00	PHI	WAS										
SG	Terrance Ferguson	0.90	$3,500.00	PHI	WAS										
PF	DJ Wilson	8.60	$3,500.00	MIL	DET										
SG	Aaron Nesmith	5.50	$3,500.00	BOS	MIA										
PG	Jahmius Ramsey	3.10	$3,500.00	SAC	CHI										
SG	Cassius Stanley	2.60	$3,500.00	IND	HOU										
PG	Jalen Harris	0.00	$3,500.00	TOR	PHO										
PG	Malachi Flynn	1.50	$3,500.00	TOR	PHO										
PG	Nico Mannion	5.40	$3,500.00	GS	LAC										
PF	Robert Woodard	6.70	$3,500.00	SAC	CHI										
C	Alex Len	9.38	$3,500.00	TOR	PHO										
PG	Cassius Winston	0.00	$3,500.00	WAS	PHI										
SG	Devon Dotson	5.20	$3,500.00	CHI	SAC										
SG	Trent Forrest	6.50	$3,500.00	UTA	NY										
PF	Lamar Stevens	6.13	$3,500.00	CLE	ORL										
SF	Semi Ojeleye	9.57	$3,500.00	BOS	MIA										
PF	Wenyen Gabriel	5.85	$3,500.00	NO	OKC										
PG	Jalen Lecque	4.05	$3,500.00	IND	HOU										
SF	Stanley Johnson	10.10	$3,500.00	TOR	PHO										
PF	Mike Scott	8.52	$3,500.00	PHI	WAS										
C	Cristiano Felicio	6.60	$3,500.00	CHI	SAC										
PG	Brandon Goodwin	7.70	$3,500.00	ATL	CHA										
