Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	DVP	USG%	Final Proj	Final Value	PTS for 5x value
C	Joel Embiid	49.45	$10,500.00	PHI	CHA	42.9	4.09	46.7	4.45	25	29.7	44.8	4.27	52.50
C	Andre Drummond	52.16	$10,000.00	CLE	ATL	45.3	4.53	46.6	4.66	24	31	45.95	4.60	50.00
PG	Trae Young	45.92	$9,700.00	ATL	CLE	43	4.43	41.2	4.25	30	34.8	42.1	4.34	48.50
PF	Domantas Sabonis	46.80	$9,400.00	IND	NY	43.2	4.60	46.4	4.94	21	23.8	44.8	4.77	47.00
SF	Brandon Ingram	40.80	$9,000.00	NO	TOR	39.3	4.37	39	4.33	11	29	39.15	4.35	45.00
PG	Ben Simmons	40.08	$8,600.00	PHI	CHA	39.5	4.59	42.2	4.91	28	21.4	40.85	4.75	43.00
C	Nikola Vucevic	41.64	$8,400.00	ORL	OKC	39.9	4.75	38.3	4.56	17	24.7	39.1	4.65	42.00
SG	Shai Gilgeous-Alexander	35.67	$8,200.00	OKC	ORL	36.8	4.49	36.1	4.40	15	27.8	36.45	4.45	41.00
PF	Zion Williamson	34.18	$8,100.00	NO	TOR	34.1	4.21	33.9	4.19	8	28.5	34	4.20	40.50
PG	Kyle Lowry	37.17	$8,000.00	TOR	NO	39.8	4.98	39.9	4.99	23	22.9	39.85	4.98	40.00
PF	Julius Randle	43.78	$8,000.00	NY	IND	32.1	4.01	37.8	4.73	3	25.6	34.95	4.37	40.00
PF	Pascal Siakam	37.80	$7,800.00	TOR	NO	39.8	5.10	34.6	4.44	15	25	37.2	4.77	39.00
C	Myles Turner	38.32	$7,700.00	IND	NY	28.7	3.73	35.5	4.61	16	16.4	32.1	4.17	38.50
SF	Gordon Hayward	33.30	$7,600.00	CHA	PHI	31.6	4.16	30.8	4.05	20	24.5	31.2	4.11	38.00
SG	Fred VanVleet	36.97	$7,500.00	TOR	NO	35.5	4.73	33.8	4.51	9	22.3	34.65	4.62	37.50
PG	Malcolm Brogdon	36.94	$7,500.00	IND	NY	31.2	4.16	36.2	4.83	26	23.5	33.7	4.49	37.50
PG	Darius Garland	36.32	$7,500.00	CLE	ATL	27.4	3.65	32.6	4.35	5	21.2	30	4.00	37.50
SF	Tobias Harris	36.78	$7,200.00	PHI	CHA	33.1	4.60	33.7	4.68	23	23.2	33.4	4.64	36.00
SG	Victor Oladipo	36.17	$7,200.00	IND	NY	24.2	3.36	30.3	4.21	23	24.2	27.25	3.78	36.00
PG	Terry Rozier	31.48	$7,100.00	CHA	PHI	29	4.08	28.4	4.00	4	26.6	28.7	4.04	35.50
PF	John Collins	33.18	$7,000.00	ATL	CLE	26.3	3.76	30.6	4.37	6	23.5	28.45	4.06	35.00
SF	Larry Nance	33.70	$6,800.00	CLE	ATL	38	5.59	39.8	5.85	30	12.4	38.9	5.72	34.00
SG	Collin Sexton	35.90	$6,800.00	CLE	ATL	34.9	5.13	34.6	5.09	25	25.5	34.75	5.11	34.00
PG	Lonzo Ball	28.62	$6,500.00	NO	TOR	29.2	4.49	26.9	4.14	17	21.7	28.05	4.32	32.50
SF	OG Anunoby	31.23	$6,500.00	TOR	NO	24.3	3.74	22.8	3.51	17	13.9	23.55	3.62	32.50
PF	Aaron Gordon	23.80	$6,400.00	ORL	OKC	25.9	4.05	28.1	4.39	9	21.1	27	4.22	32.00
SG	Alec Burks	33.23	$6,200.00	NY	IND	23.7	3.82	24.2	3.90	21	24.6	23.95	3.86	31.00
C	Clint Capela	27.30	$6,100.00	ATL	CLE	24.4	4.00	26.3	4.31	21	15.7	25.35	4.16	30.50
C	Steven Adams	29.56	$6,000.00	NO	TOR	28.5	4.75	30.1	5.02	6	12.1	29.3	4.88	30.00
SF	RJ Barrett	29.88	$5,900.00	NY	IND	29.6	5.02	31.7	5.37	6	23.6	30.65	5.19	29.50
C	Chris Boucher	25.88	$5,900.00	TOR	NO	30.2	5.12	26.8	4.54	15	23.4	28.5	4.83	29.50
SG	Devonte Graham	26.74	$5,900.00	CHA	PHI	31.1	5.27	25.6	4.34	19	18	28.35	4.81	29.50
PF	PJ Washington	24.22	$5,900.00	CHA	PHI	25.8	4.37	24.5	4.15	7	23	25.15	4.26	29.50
PG	Markelle Fultz	30.78	$5,800.00	ORL	OKC	25	4.31	28.9	4.98	2	26.5	26.95	4.65	29.00
PF	Kevin Love	20.45	$5,700.00	CLE	ATL	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	28.50
PF	Darius Bazley	23.17	$5,500.00	OKC	ORL	25.6	4.65	23.8	4.33	13	18.3	24.7	4.49	27.50
PG	George Hill	24.43	$5,500.00	OKC	ORL	20.4	3.71	19.3	3.51	18	20.6	19.85	3.61	27.50
C	Al Horford	26.27	$5,400.00	OKC	ORL	29.8	5.52	27.8	5.15	12	13.8	28.8	5.33	27.00
SF	Bogdan Bogdanovic	24.38	$5,400.00	ATL	CLE	24.9	4.61	25.8	4.78	28	18.3	25.35	4.69	27.00
SG	Terrence Ross	26.23	$5,400.00	ORL	OKC	24.5	4.54	26.2	4.85	4	26	25.35	4.69	27.00
SF	Evan Fournier	22.12	$5,300.00	ORL	OKC	27.7	5.23	25.3	4.77	29	20.8	26.5	5.00	26.50
PG	LaMelo Ball	24.88	$5,300.00	CHA	PHI	17.7	3.34	21.3	4.02	4	23.3	19.5	3.68	26.50
C	Mitchell Robinson	24.42	$5,200.00	NY	IND	24	4.62	22.4	4.31	27	10.9	23.2	4.46	26.00
SG	Luguentz Dort	24.95	$5,200.00	OKC	ORL	18.4	3.54	23	4.42	15	20.8	20.7	3.98	26.00
SF	TJ Warren	22.08	$5,100.00	IND	NY	28.8	5.65	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	25.50
C	Bismack Biyombo	25.38	$5,000.00	CHA	PHI	27.4	5.48	24.2	4.84	2	13.8	25.8	5.16	25.00
PG	Elfrid Payton	22.36	$5,000.00	NY	IND	25.3	5.06	23.1	4.62	3	24.3	24.2	4.84	25.00
SF	Miles Bridges	27.12	$5,000.00	CHA	PHI	18.2	3.64	18.4	3.68	20	17	18.3	3.66	25.00
SF	Cam Reddish	24.94	$4,900.00	ATL	CLE	20.6	4.20	23.1	4.71	28	18.6	21.85	4.46	24.50
SG	Seth Curry	25.68	$4,900.00	PHI	CHA	17.4	3.55	19.2	3.92	7	17.3	18.3	3.73	24.50
SF	Danilo Gallinari	12.75	$4,800.00	ATL	CLE	21	4.38	20.5	4.27	28	18.8	20.75	4.32	24.00
PF	Isaiah Roby	23.80	$4,700.00	OKC	ORL	0	0.00	15.4	3.28	13	21.5	7.7	1.64	23.50
SG	Eric Bledsoe	19.66	$4,600.00	NO	TOR	24.8	5.39	24.3	5.28	3	18.3	24.55	5.34	23.00
SF	DeAndre Hunter	26.46	$4,600.00	ATL	CLE	18.2	3.96	21.9	4.76	28	15.4	20.05	4.36	23.00
