Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	DVP	USG%	Final Proj	Final Value	PTS for 5x value
PG	Luka Doncic	43.32	$11,300.00	DAL	CHI	53.30	4.72	53.3	4.72	24	36.7	53.3	4.72	56.50
PG	Russell Westbrook	50.92	$11,000.00	WAS	BKN	50.50	4.59	50.1	4.55	14	29.2	50.3	4.57	55.00
C	Nikola Jokic	56.70	$10,600.00	DEN	MIN	51.80	4.89	50.1	4.73	8	25.5	50.95	4.81	53.00
SF	Kawhi Leonard	50.55	$10,500.00	LAC	PHO	50.40	4.80	45.3	4.31	8	29.8	47.85	4.56	52.50
SF	LeBron James	45.03	$10,400.00	LAL	MEM	52.80	5.08	39	3.75	11	29	45.9	4.41	52.00
C	Karl-Anthony Towns	49.30	$10,200.00	MIN	DEN	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	51.00
PF	Anthony Davis	41.16	$10,000.00	LAL	MEM	48.40	4.84	49.7	4.97	11	26.8	49.05	4.91	50.00
SG	Bradley Beal	46.17	$9,800.00	WAS	BKN	42.20	4.31	44.5	4.54	17	35.2	43.35	4.42	49.00
PG	Stephen Curry	43.62	$9,800.00	GS	POR	46.20	4.71	48.7	4.97	6	32.2	47.45	4.84	49.00
SF	Kevin Durant	46.44	$9,600.00	BKN	WAS	46.00	4.79	48.3	5.03	19	30.8	47.15	4.91	48.00
PG	Kyrie Irving	42.84	$9,500.00	BKN	WAS	42.80	4.51	39.2	4.13	29	30.1	41	4.32	47.50
PG	Damian Lillard	40.78	$9,300.00	POR	GS	43.60	4.69	45.5	4.89	27	29.9	44.55	4.79	46.50
SG	CJ McCollum	45.70	$8,800.00	POR	GS	37.00	4.20	40.8	4.64	27	29.1	38.9	4.42	44.00
PG	Ja Morant	40.30	$8,500.00	MEM	LAL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	42.50
SG	DeMar DeRozan	44.64	$8,500.00	SA	UTA	36.30	4.27	39.6	4.66	5	22.8	37.95	4.46	42.50
SG	Paul George	40.23	$8,000.00	LAC	PHO	43.00	5.38	38.7	4.84	2	30.4	40.85	5.11	40.00
SG	Donovan Mitchell	32.38	$8,000.00	UTA	SA	39.00	4.88	39.5	4.94	22	30.1	39.25	4.91	40.00
PF	Kristaps Porzingis	41.07	$8,000.00	DAL	CHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	40.00
C	Rudy Gobert	39.54	$7,800.00	UTA	SA	35.40	4.54	34.5	4.42	20	18.1	34.95	4.48	39.00
SG	Zach LaVine	34.98	$7,700.00	CHI	DAL	37.90	4.92	37.1	4.82	12	30.7	37.5	4.87	38.50
SG	Devin Booker	29.72	$7,500.00	PHO	LAC	36.60	4.88	33.4	4.45	20	31.5	35	4.67	37.50
PG	Dejounte Murray	35.52	$7,400.00	SA	UTA	35.80	4.84	34.9	4.72	22	25.1	35.35	4.78	37.00
PG	Jamal Murray	32.53	$7,300.00	DEN	MIN	38.20	5.23	40.3	5.52	18	25.4	39.25	5.38	36.50
C	Jonas Valanciunas	35.40	$7,200.00	MEM	LAL	34.70	4.82	31.9	4.43	3	20.5	33.3	4.63	36.00
PG	Chris Paul	31.97	$7,200.00	PHO	LAC	36.00	5.00	30.5	4.24	15	22.8	33.25	4.62	36.00
SG	DAngelo Russell	26.36	$7,200.00	MIN	DEN	35.00	4.86	34.3	4.76	29	28.9	34.65	4.81	36.00
C	Deandre Ayton	31.48	$7,100.00	PHO	LAC	31.80	4.48	31.4	4.42	14	18.6	31.6	4.45	35.50
SF	Michael Porter	37.22	$6,700.00	DEN	MIN	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	33.50
SG	Dillon Brooks	32.84	$6,600.00	MEM	LAL	28.40	4.30	26.6	4.03	30	29.4	27.5	4.17	33.00
PG	Mike Conley	36.64	$6,600.00	UTA	SA	30.90	4.68	32.3	4.89	13	24.9	31.6	4.79	33.00
SG	Caris LeVert	31.33	$6,500.00	BKN	WAS	28.20	4.34	27.4	4.22	6	28.5	27.8	4.28	32.50
SF	Kyle Anderson	34.24	$6,400.00	MEM	LAL	32.40	5.06	32.1	5.02	2	22.5	32.25	5.04	32.00
PF	Lauri Markkanen	28.48	$6,400.00	CHI	DAL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	32.00
SG	Andrew Wiggins	30.02	$6,300.00	GS	POR	31.20	4.95	31.3	4.97	14	24.5	31.25	4.96	31.50
PF	LaMarcus Aldridge	22.87	$6,200.00	SA	UTA	32.10	5.18	28.2	4.55	19	23.5	30.15	4.86	31.00
PG	Coby White	26.53	$6,100.00	CHI	DAL	27.50	4.51	27.7	4.54	1	22.4	27.6	4.52	30.50
PG	Derrick White	15.70	$6,000.00	SA	UTA	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	30.00
C	Jusuf Nurkic	24.62	$6,000.00	POR	GS	31.90	5.32	34	5.67	23	19.1	32.95	5.49	30.00
PF	Draymond Green	12.80	$6,000.00	GS	POR	21.70	3.62	26.1	4.35	29	8.9	23.9	3.98	30.00
SG	Dennis Schroder	29.92	$5,900.00	LAL	MEM	31.50	5.34	27.9	4.73	24	24.8	29.7	5.03	29.50
C	Thomas Bryant	29.27	$5,800.00	WAS	BKN	35.10	6.05	29.6	5.10	18	19.3	32.35	5.58	29.00
SF	Keldon Johnson	31.92	$5,800.00	SA	UTA	26.10	4.50	25.3	4.36	13	21.3	25.7	4.43	29.00
C	Montrezl Harrell	24.63	$5,700.00	LAL	MEM	27.80	4.88	28.3	4.96	4	17.8	28.05	4.92	28.50
PG	Tyus Jones	18.40	$5,700.00	MEM	LAL	22.00	3.86	25.5	4.47	17	14.6	23.75	4.17	28.50
C	Jarrett Allen	26.13	$5,600.00	BKN	WAS	28.30	5.05	25.2	4.50	29	14.1	26.75	4.78	28.00
SF	Mikal Bridges	29.03	$5,500.00	PHO	LAC	26.50	4.82	27.7	5.04	1	14.3	27.1	4.93	27.50
C	Wendell Carter	26.15	$5,500.00	CHI	DAL	28.30	5.15	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	27.50
C	James Wiseman	23.82	$5,400.00	GS	POR	21.10	3.91	24.3	4.50	11	22.8	22.7	4.20	27.00
SF	Tim Hardaway	25.28	$5,300.00	DAL	CHI	24.60	4.64	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	26.50
PF	Robert Covington	21.68	$5,200.00	POR	GS	29.80	5.73	29.6	5.69	17	10.5	29.7	5.71	26.00
SG	Malik Beasley	25.08	$5,200.00	MIN	DEN	23.20	4.46	26.1	5.02	29	24.2	24.65	4.74	26.00
SF	Kelly Oubre	22.18	$5,200.00	GS	POR	26.10	5.02	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	26.00
C	Serge Ibaka	27.65	$5,100.00	LAC	PHO	29.20	5.73	29.5	5.78	19	22.8	29.35	5.75	25.50
SF	Rudy Gay	25.56	$5,100.00	SA	UTA	26.30	5.16	22.9	4.49	13	23.8	24.6	4.82	25.50
SF	Anthony Edwards	22.98	$5,100.00	MIN	DEN	24.70	4.84	25.4	4.98	12	25.9	25.05	4.91	25.50
SG	Jordan Clarkson	24.86	$5,000.00	UTA	SA	24.40	4.88	23.9	4.78	22	26.6	24.15	4.83	25.00
PF	Bojan Bogdanovic	18.20	$5,000.00	UTA	SA	23.50	4.70	27.6	5.52	18	19.3	25.55	5.11	25.00
SF	Rui Hachimura	23.15	$5,000.00	WAS	BKN	20.70	4.14	24.5	4.90	9	23	22.6	4.52	25.00
SF	Will Barton	22.20	$5,000.00	DEN	MIN	34.60	6.92	33.2	6.64	22	18.7	33.9	6.78	25.00
PG	Ricky Rubio	19.74	$4,900.00	MIN	DEN	26.80	5.47	26.1	5.33	10	14.6	26.45	5.40	24.50
SG	Lonnie Walker	21.78	$4,900.00	SA	UTA	22.20	4.53	19	3.88	5	18.5	20.6	4.20	24.50
PF	Naz Reid	23.34	$4,900.00	MIN	DEN	26.60	5.43	28.1	5.73	10	19.5	27.35	5.58	24.50
PF	Brandon Clarke	21.66	$4,800.00	MEM	LAL	22.40	4.67	27.8	5.79	2	19.6	25.1	5.23	24.00
SG	Josh Richardson	22.08	$4,800.00	DAL	CHI	27.70	5.77	29	6.04	16	18.6	28.35	5.91	24.00
PF	Paul Millsap	18.90	$4,700.00	DEN	MIN	24.90	5.30	25.3	5.38	20	17.4	25.1	5.34	23.50
PF	Nicolas Batum	22.05	$4,700.00	LAC	PHO	22.30	4.74	24.4	5.19	22	10.8	23.35	4.97	23.50
C	Enes Kanter	20.72	$4,700.00	POR	GS	23.90	5.09	20.5	4.36	23	17	22.2	4.72	23.50
SF	Justise Winslow	26.33	$4,700.00	MEM	LAL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	23.50
SF	Joe Ingles	20.50	$4,700.00	UTA	SA	23.70	5.04	18	3.83	5	14.2	20.85	4.44	23.50
PF	Davis Bertans	17.50	$4,600.00	WAS	BKN	20.60	4.48	22.1	4.80	26	19.1	21.35	4.64	23.00
C	DeAndre Jordan	20.08	$4,600.00	BKN	WAS	20.80	4.52	19.3	4.20	29	11	20.05	4.36	23.00
PF	Jae Crowder	22.45	$4,600.00	PHO	LAC	23.70	5.15	22.8	4.96	14	15.6	23.25	5.05	23.00
PG	Raul Neto	18.05	$4,500.00	WAS	BKN	12.60	2.80	12.7	2.82	14	18.4	12.65	2.81	22.50
SF	Carmelo Anthony	21.63	$4,500.00	POR	GS	26.80	5.96	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22.50
PG	Lou Williams	18.25	$4,500.00	LAC	PHO	19.70	4.38	18.9	4.20	20	21.6	19.3	4.29	22.50
SF	Joe Harris	23.32	$4,500.00	BKN	WAS	21.80	4.84	21.7	4.82	19	15.8	21.75	4.83	22.50
SF	Deni Avdija	21.87	$4,400.00	WAS	BKN	18.70	4.25	20.2	4.59	9	10.3	19.45	4.42	22.00
C	Ivica Zubac	19.53	$4,400.00	LAC	PHO	18.30	4.16	22.3	5.07	19	18	20.3	4.61	22.00
PG	DeAnthony Melton	12.90	$4,400.00	MEM	LAL	18.50	4.20	20.1	4.57	17	9.9	19.3	4.39	22.00
SF	Otto Porter	26.70	$4,400.00	CHI	DAL	25.10	5.70	28.4	6.45	18	21.5	26.75	6.08	22.00
PG	Monte Morris	21.74	$4,400.00	DEN	MIN	21.50	4.89	17.9	4.07	18	17	19.7	4.48	22.00
SF	Dorian Finney-Smith	19.48	$4,400.00	DAL	CHI	22.20	5.05	22.2	5.05	4	15	22.2	5.05	22.00
PF	Marquese Chriss	17.80	$4,300.00	GS	POR	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	21.50
SF	Cameron Johnson	21.78	$4,300.00	PHO	LAC	20.20	4.70	21.9	5.09	1	19.9	21.05	4.90	21.50
SF	Jarrett Culver	16.88	$4,300.00	MIN	DEN	16.30	3.79	21.6	5.02	12	17.3	18.95	4.41	21.50
C	Jakob Poeltl	17.96	$4,200.00	SA	UTA	20.70	4.93	23.1	5.50	5	0	21.9	5.21	21.00
PF	Thaddeus Young	23.40	$4,200.00	CHI	DAL	24.50	5.83	28.2	6.71	25	19.3	26.35	6.27	21.00
PF	Kyle Kuzma	20.67	$4,100.00	LAL	MEM	23.10	5.63	21.3	5.20	11	20.6	22.2	5.41	20.50
SG	Timothe Luwawu-Cabarrot	11.83	$4,100.00	BKN	WAS	23.20	5.66	13	3.17	6	19.7	18.1	4.41	20.50
SF	Josh Okogie	14.50	$4,100.00	MIN	DEN	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.50
SF	Jarred Vanderbilt	22.13	$4,100.00	MIN	DEN	0.00	0.00	16	3.90	12	17.2	8	1.95	20.50
PF	Eric Paschall	16.74	$4,100.00	GS	POR	15.40	3.76	11.9	2.90	29	18.6	13.65	3.33	20.50
SF	Patrick Williams	16.77	$4,100.00	CHI	DAL	19.10	4.66	20.9	5.10	1	18.4	20	4.88	20.50
C	Derrick Favors	20.68	$4,000.00	UTA	SA	17.00	4.25	21.2	5.30	20	20.8	19.1	4.78	20.00
PG	Patty Mills	21.24	$4,000.00	SA	UTA	#N/A	#N/A	15.3	3.83	0	16.7	#N/A	#N/A	20.00
PF	Maxi Kleber	17.52	$4,000.00	DAL	CHI	18.40	4.60	22.9	5.73	24	11.3	20.65	5.16	20.00
SG	Gary Trent	19.40	$4,000.00	POR	GS	16.40	4.10	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.00
C	Dwight Powell	16.34	$4,000.00	DAL	CHI	19.80	4.95	21.4	5.35	30	11.4	20.6	5.15	20.00
SF	Derrick Jones	20.02	$4,000.00	POR	GS	22.90	5.73	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.00
PG	Cameron Payne	19.45	$4,000.00	PHO	LAC	19.00	4.75	12.7	3.18	15	19.2	15.85	3.96	20.00
SG	Gary Harris	16.32	$4,000.00	DEN	MIN	21.70	5.43	22.2	5.55	28	14.2	21.95	5.49	20.00
